16:38:13.248 +08:00 || Information ||  || GetMzOrdersByPatientId,000296903300,303 ||  ||end 
16:48:17.541 +08:00 || Information ||  || GetLoginUser,super, ||  ||end 
16:48:21.106 +08:00 || Information ||  || GetPatientByCard,2 ||  ||end 
16:48:23.775 +08:00 || Information ||  || GetMzOrdersByPatientId,000296903300,303 ||  ||end 
16:48:33.269 +08:00 || Information ||  || GetPatientByCard,2 ||  ||end 
16:48:36.391 +08:00 || Information ||  || GetMzOrdersByPatientId,000296903300,303 ||  ||end 
16:52:45.607 +08:00 || Information ||  || GetLoginUser,super, ||  ||end 
16:55:34.501 +08:00 || Information ||  || GetLoginUser,super, ||  ||end 
16:55:37.666 +08:00 || Information ||  || GetPatientByCard,2 ||  ||end 
16:55:38.944 +08:00 || Information ||  || GetMzOrdersByPatientId,000296903300,303 ||  ||end 
17:32:40.229 +08:00 || Information ||  || GetLoginUser,super, ||  ||end 
17:32:43.937 +08:00 || Information ||  || GetPatientByCard,2 ||  ||end 
17:32:45.883 +08:00 || Information ||  || GetMzOrdersByPatientId,000296903300,303 ||  ||end 
17:32:45.949 +08:00 || Information ||  || GetCprCharges,000296903300,303,1 ||  ||end 
17:32:46.017 +08:00 || Error ||  || 找不到存储过程 '--220001 门诊收费 - 调取病人处方明细存储过程
mzsf_GetCprCharges'。 ||  ||end 
17:33:51.806 +08:00 || Information || Microsoft.Hosting.Lifetime || Application is shutting down... ||  ||end 
17:34:02.797 +08:00 || Information || Microsoft.Hosting.Lifetime || Now listening on: "http://localhost:5010" ||  ||end 
17:34:02.868 +08:00 || Information || Microsoft.Hosting.Lifetime || Now listening on: "https://localhost:5011" ||  ||end 
17:34:02.869 +08:00 || Information || Microsoft.Hosting.Lifetime || Application started. Press Ctrl+C to shut down. ||  ||end 
17:34:02.876 +08:00 || Information || Microsoft.Hosting.Lifetime || Hosting environment: "Production" ||  ||end 
17:34:02.877 +08:00 || Information || Microsoft.Hosting.Lifetime || Content root path: "D:\lijun\github\Mzgh\MzsfApi\bin\Release\netcoreapp3.1\publish" ||  ||end 
17:34:17.605 +08:00 || Information ||  || GetLoginUser,super, ||  ||end 
17:34:21.410 +08:00 || Information ||  || GetPatientByCard,2 ||  ||end 
17:34:21.584 +08:00 || Information ||  || GetMzOrdersByPatientId,000296903300,303 ||  ||end 
17:34:21.600 +08:00 || Information ||  || GetCprCharges,000296903300,303,1 ||  ||end 
